Partner name,Offer Reference,Country,*Currency,Status,*For LPM,*Payment fee %,*Type of Risk,*Type of traffic,*FIAT Settlement currency,*FIAT Settlement Cost,FX Source,FX - Settlement,*Settlement Delays (per currency),*Refund,Payments limit,Disbursement limit,Closed GEO,8B Lead,Minimum monthly fee,*Pay in / out,Setup fee,Taxation,Netting fee/topup fee,"Netting latency ",8B legal entity,*Fix transaction fee,*Min transaction fee,"CRYPTO Settlement currency ","CRYPTO Settlement Cost ",Special payment terms,"Disbursement fix fee ",Min disbursement fee,"Limit per settlement request ",Disbursement fee%
PagSmile (https://www.notion.so/PagSmile-222c7b6d15e44541a7920371d96e6357?pvs=21),PagSmile - May 2024 - Brazil - PIX,🇧🇷 Brazil (https://www.notion.so/Brazil-fe60a68478f749fcacf9a9d1d87a8ab7?pvs=21),BRL,Live,PIX (https://www.notion.so/PIX-1e399abafc874140b30c6c8e13750b09?pvs=21),"0.68% ",High risk,Both,"USD, EUR",USD/EUR 50.00,xe.com,2.00%,"T+7 = EUR / USD
T+3 = USDT",USD 1.00,"0.1~50,000","0.1~50,000",,Anna Ivanova,,Both,,Included,1%,T+1,"DPS, GFI",no,BRL 0.20,USDT,1% + 50 USDT,,,,,0.68%
UBANKCONNECT (https://www.notion.so/UBANKCONNECT-1510f23639648039a3d4d3f26c42f23f?pvs=21),UBANK - November 2024 - Ivory Cost,🇨🇮 Cote d’Ivoire (Ivory Coast) (https://www.notion.so/Cote-d-Ivoire-Ivory-Coast-0748091dad854b8982ebb74f457daca8?pvs=21),XOF,Upcoming (ready to sell),"MTN (https://www.notion.so/MTN-c7871bdf09c343389cfb7c9cb858c97a?pvs=21), Orange (https://www.notion.so/Orange-c65ed302b87f414298e9b8081262370f?pvs=21)","3.50% ","Binary, Forex, High risk, iGaming",Both,"USDT, XOF",1.00% (USDT only),"exchange rate based on the liquidity provider
",,T+2,,"Min: 300 XOF Max: 2,000,000 XOF   ","● Min: 300 XOF 
● Max: 2,000,000 XOF",,Anna Ivanova,,Both,,,,,,,,,,,,,"Min: 5,000 USDT Max: No limit    ",3.30%
UBANKCONNECT (https://www.notion.so/UBANKCONNECT-1510f23639648039a3d4d3f26c42f23f?pvs=21),UBANK - November 2024 - Pakistan - EasyPaisa/JazzCash,🇵🇰 Pakistan (https://www.notion.so/Pakistan-1891bf585491474cb04fbefc759f1a03?pvs=21),PKR,Upcoming (ready to sell),"Easypaisa (https://www.notion.so/Easypaisa-14d0f236396480db8491e4bec7821dc1?pvs=21), JazzCash (https://www.notion.so/JazzCash-1580f236396480628799c250606e0bf0?pvs=21)","4.00% (P2P forex and binary), 7.50% (P2C, igaming)","Binary, Forex, High risk, iGaming","Both, P2C, P2P",USDT,"1.00 %  ",Binance P2P rate,,"P2P: 
FOREX & BINARY: T+0 
P2C: 
GAMING: T+1 / T+3
FOREX, & BINARY: T+1
","P2C: GAMING, FOREX, & BINARY: 3 PKR","FOREX & BINARY (P2P): 
•  Min: 1,000 PKR up to 5,000 PKR 
•  Max: 50,000 PKR up to 800,000 PKR
 
GAMING (P2C): 
•  Min: 1 PKR 
•  Max: 1,000,000 PKR ","Min: 2,000 PKR 
Max: 800,000 PKR   ",,Anna Ivanova,,Both,,,,,,,,,,,,,"Min : 1,000 USDT 
Max Request Amount: No Limit ",3.00% (Forex and Binary)
UBANKCONNECT (https://www.notion.so/UBANKCONNECT-1510f23639648039a3d4d3f26c42f23f?pvs=21),UBANK - November 2024 - Pakistan - BankTransfer,🇵🇰 Pakistan (https://www.notion.so/Pakistan-1891bf585491474cb04fbefc759f1a03?pvs=21),PKR,Upcoming (ready to sell),Bank Transfer - Pakistan (https://www.notion.so/Bank-Transfer-Pakistan-14c0f236396480b8b8a0e01a464f3972?pvs=21),5.00%,"Binary, Forex, High risk","Both, P2P",USDT,"0.00 %  ",Binance P2P rate,,T+0,n/a,"Min: 1,000 PKR up to 5,000 PKR 
Max: 50,000 PKR up to 800,000 PKR   ","Min: 2,000 PKR 
Max: 800,000 PKR   ",,Anna Ivanova,,Both,,,,,,,,,,,,,"Min : 1,000 USDT 
Max Request Amount: No Limit ",3.00% (Manual)
UBANKCONNECT (https://www.notion.so/UBANKCONNECT-1510f23639648039a3d4d3f26c42f23f?pvs=21),UBANK - November 2024 - Indonesia - VA,🇮🇩 Indonesia (https://www.notion.so/Indonesia-82f5326738e24e4fbb8b42f471f34bb5?pvs=21),IDR,Upcoming (ready to sell),Virtual Accounts - Indonesia (https://www.notion.so/Virtual-Accounts-Indonesia-554252e319dc40a3993a15480d0921c0?pvs=21),"3.20% ","High risk, iGaming","Both, P2C","IDR, USDT"," 60,000 IDR  ",The conversion rate is based on daily MC rate,,T+0,,"Min: 100,000 IDR Max: 24,000,000 IDR   ","Min: 100,000 IDR Max: 24,000,000 IDR   ",,Anna Ivanova,,Both,,,,,,,,,,,,,"Min: 1,000,000 IDR / Max: 100,000,000 IDR",2.20%
UBANKCONNECT (https://www.notion.so/UBANKCONNECT-1510f23639648039a3d4d3f26c42f23f?pvs=21),UBANK - November 2024 - Bangladesh - Upay/Rocket,🇧🇩 Bangladesh (https://www.notion.so/Bangladesh-3f57d04736cb449f9c8dd4ff4fb8e156?pvs=21),BDT,Upcoming (ready to sell),"Upay (https://www.notion.so/Upay-1820f23639648089aa71e26ad31684f4?pvs=21), Rocket (https://www.notion.so/Rocket-1820f2363964802b9e25f4d336070eb0?pvs=21)",6.20%,High risk,"Both, P2P","BDT, USDT","2.50 %    
",The conversion rate is based on daily MC rate,,,,"Min: 300 BDT Max: 25,000 BDT   ","Min: 100 BDT Max: 25,000 BDT",,Anna Ivanova,,Both,,,,,,,,,,,,,"Min : 5,000 USDT 
Max Request Amount: No Limit ",3.70%
UBANKCONNECT (https://www.notion.so/UBANKCONNECT-1510f23639648039a3d4d3f26c42f23f?pvs=21),UBANK - November 2024 - Bangladesh - Bkash/Nagad,🇧🇩 Bangladesh (https://www.notion.so/Bangladesh-3f57d04736cb449f9c8dd4ff4fb8e156?pvs=21),BDT,Upcoming (ready to sell),"Bkash (https://www.notion.so/Bkash-1820f236396480dfb0b4d8a2f3064599?pvs=21), Nagad (https://www.notion.so/Nagad-1820f23639648094a7d9df49c0390baf?pvs=21)",6.50%,High risk,"Both, P2C","BDT, USDT","1.00 %    
","Binance P2P rate, average of 3-4 sellers",,,,"Min: 200 BDT Max: 25,000 BDT   ","Min: 500 BDT Max: 30,000 BDT",,Anna Ivanova,,Both,,,,,,,,,,,,,"Min : 5,000 USDT 
Max Request Amount: No Limit ",2.50%
UBANKCONNECT (https://www.notion.so/UBANKCONNECT-1510f23639648039a3d4d3f26c42f23f?pvs=21),UBANK - November 2024 - Philippines - Maya,🇵🇭 Philippines (https://www.notion.so/Philippines-ab5d2fa696a8438086203f3d2d99329c?pvs=21),PHP,Upcoming (ready to sell),Maya (https://www.notion.so/Maya-8e46956465cd4122b1db80667c16f51b?pvs=21),2.30%,High risk,Both,USDT,0.00%,"The conversion rate will be determined by the daily MC rate   ",,T+0,,"Min: 50 PHP
Max: 50,000 PHP",,,Anna Ivanova,,Both,,,,,,,,,,,,,"Min Request Amount: 1,000 USDT 
Max Request Amount: No Limit ",1.50%
UBANKCONNECT (https://www.notion.so/UBANKCONNECT-1510f23639648039a3d4d3f26c42f23f?pvs=21),UBANK - November 2024 - Philippines - GCash,🇵🇭 Philippines (https://www.notion.so/Philippines-ab5d2fa696a8438086203f3d2d99329c?pvs=21),PHP,Upcoming (ready to sell),GCash (https://www.notion.so/GCash-4d201533a7404a32a498a3fcb0746578?pvs=21),3.90%,High risk,Both,USDT,0.00%,"The conversion rate will be determined by the daily MC rate   ",,T+0,,"Min: 50 PHP
Max: 50,000 PHP",,,Anna Ivanova,,Both,,,,,,,,,,,,,"Min Request Amount: 1,000 USDT 
Max Request Amount: No Limit ",1.50%
UBANKCONNECT (https://www.notion.so/UBANKCONNECT-1510f23639648039a3d4d3f26c42f23f?pvs=21),UBANK - November 2024 - Malaysia - DuitNow,🇲🇾 Malaysia (https://www.notion.so/Malaysia-88b1cf55a464416ea9e4d2dc600f2669?pvs=21),MYR,Upcoming (ready to sell),DuitNow (https://www.notion.so/DuitNow-271d75c962c54a3ab9c72a77d3f7161b?pvs=21),"2.70% ","Forex, High risk, iGaming",Both,USDT,"MYR 10.00 + 1.5% for local settlement and 4% for USDT ","exchange rate based on the liquidity provider
",,T+0,," Min: 40 MYR - Max: 50,000 MYR   ",,,Anna Ivanova,,Both,,,,,,,,,,,,,,
